,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0,2.7913381099700927,0.3641762414902233,0.011968135833740234,0.0010926234510910625,232.9516422043137,0.04709536785462248,"{'clf__C': 232.9516422043137, 'clf__gamma': 0.04709536785462248}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6565108588792564,0.04123499672360187,13,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.7012696041822255,0.6962686567164179,0.6916062332103485,0.009326170736880005,0.46,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443244229387551,0.03497547386319017,11,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5121951219512195,0.49188514357053686,0.49395770874600686,0.015290129166959815
1,2.0044415950775147,0.24815100578578014,0.011768388748168945,0.000399017390967779,147.93912632068574,0.0446371179428457,"{'clf__C': 147.93912632068574, 'clf__gamma': 0.0446371179428457}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6565108588792564,0.04123499672360187,13,0.700522778192681,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6962686567164179,0.692203694001984,0.009828823652558886,0.46,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443244229387551,0.03497547386319017,11,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.49188514357053686,0.4944554272431841,0.015688371331105882
2,0.7559788703918457,0.027660389271635173,0.01216745376586914,0.0003988744680993653,55.10567043915622,0.003166082826701113,"{'clf__C': 55.10567043915622, 'clf__gamma': 0.003166082826701113}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6119402985074627,0.655688622754491,0.6565108588792565,0.04123499672360187,11,0.700522778192681,0.6863330843913368,0.6758775205377147,0.7012696041822255,0.6962686567164179,0.6920543288040751,0.009683163309705709,0.46,0.4109589041095891,0.5026737967914437,0.4090909090909091,0.43349753694581283,0.443244229387551,0.03497547386319018,11,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5121951219512195,0.49188514357053686,0.49433034906932544,0.015543276053889898
3,0.14381532669067382,0.013070888281408134,0.012565898895263671,0.0007974744212839993,4.696725753295721,0.3013072146206655,"{'clf__C': 4.696725753295721, 'clf__gamma': 0.3013072146206655}",0.6746268656716418,0.6149253731343284,0.7223880597014926,0.6119402985074627,0.655688622754491,0.6559138439538833,0.04094576096474844,17,0.6997759522031367,0.6863330843913368,0.6758775205377147,0.7027632561613144,0.6955223880597015,0.6920544402706408,0.00980564930348677,0.4577114427860696,0.4109589041095891,0.5026737967914437,0.4090909090909091,0.43349753694581283,0.44278651794476487,0.0347675589469565,19,0.5049261083743842,0.4951923076923076,0.4668304668304668,0.5134474327628362,0.4912718204488778,0.49433362722177454,0.015773864736360214
4,0.31834869384765624,0.031785779299724544,0.012566423416137696,0.0011966944156472908,20.169946143396874,0.054380307026399226,"{'clf__C': 20.169946143396874, 'clf__gamma': 0.054380307026399226}",0.6746268656716418,0.6149253731343284,0.7223880597014926,0.6119402985074627,0.655688622754491,0.6559138439538833,0.04094576096474844,17,0.70201643017177,0.6863330843913368,0.6758775205377147,0.700522778192681,0.6955223880597015,0.6920544402706407,0.009771461476799638,0.4577114427860696,0.4109589041095891,0.5026737967914437,0.4090909090909091,0.43349753694581283,0.44278651794476487,0.0347675589469565,19,0.5067985166872682,0.4951923076923076,0.4668304668304668,0.5115712545676004,0.4912718204488778,0.4943328732453042,0.015614384953837702
5,0.9147540092468261,0.1079724987740766,0.012765741348266602,0.0007462510148552249,67.84385203747163,0.061136788342775354,"{'clf__C': 67.84385203747163, 'clf__gamma': 0.061136788342775354}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6571078738046296,0.04060211918769166,3,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.7027632561613144,0.6955223880597015,0.6917557098748229,0.009586157573746631,0.46,0.4109589041095891,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443617828391287,0.03461679915796471,8,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5134474327628362,0.4912718204488778,0.4940855062839984,0.015614244522426223
6,1.5833674430847169,0.2085561806698029,0.012765455245971679,0.0017153793333711362,123.0001500794775,0.07417365063479579,"{'clf__C': 123.0001500794775, 'clf__gamma': 0.07417365063479579}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6577048887300028,0.03999488248309436,1,0.700522778192681,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6920544402706407,0.009771461476799638,0.46,0.4109589041095891,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4439948549088187,0.03426754760624158,1,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49433276261885234,0.015710370690253547
7,2.131103181838989,0.3182364954799557,0.012566614151000976,0.001016999341809645,174.52696423964022,0.11192895396810609,"{'clf__C': 174.52696423964022, 'clf__gamma': 0.11192895396810609}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6571078738046296,0.04060211918769166,3,0.700522778192681,0.6863330843913368,0.6758775205377147,0.7012696041822255,0.6955223880597015,0.6919050750727319,0.009622616590910592,0.46,0.4109589041095891,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443617828391287,0.03461679915796471,8,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5121951219512195,0.4912718204488778,0.4942076844449936,0.015564494767114126
8,1.9420083522796632,0.1817814159599271,0.011968231201171875,0.0006307510583525865,147.91256681173147,0.004969942378468265,"{'clf__C': 147.91256681173147, 'clf__gamma': 0.004969942378468265}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6565108588792564,0.04123499672360187,13,0.700522778192681,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6920544402706407,0.009771461476799638,0.46,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443244229387551,0.03497547386319017,11,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49433276261885234,0.015710370690253547
9,3.6618117332458495,0.5674691235226839,0.011768388748168945,0.0003988981353824061,289.5757246295368,0.025290962653336253,"{'clf__C': 289.5757246295368, 'clf__gamma': 0.025290962653336253}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6571078738046296,0.04064598812604636,3,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6962686567164179,0.6917555984082574,0.00948437889891506,0.46,0.4090909090909091,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4436212559050826,0.03463390709146934,3,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.49188514357053686,0.4940827869198655,0.015440622811915543
10,0.495076322555542,0.04260196745839445,0.013164997100830078,0.0007464166461599778,33.74246701703475,0.22674508925672923,"{'clf__C': 33.74246701703475, 'clf__gamma': 0.22674508925672923}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6119402985074627,0.655688622754491,0.6565108588792565,0.04123499672360187,11,0.700522778192681,0.6863330843913368,0.6758775205377147,0.7012696041822255,0.6955223880597015,0.6919050750727319,0.009622616590910592,0.46,0.4109589041095891,0.5026737967914437,0.4090909090909091,0.43349753694581283,0.443244229387551,0.03497547386319018,11,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5121951219512195,0.4912718204488778,0.4942076844449936,0.015564494767114126
11,3.5519055366516112,0.6156533171602713,0.01216731071472168,0.00039918435158881684,281.4359342643166,0.7955470784724292,"{'clf__C': 281.4359342643166, 'clf__gamma': 0.7955470784724292}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6571078738046296,0.04064598812604636,3,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6916063446769141,0.0094178218404756,0.46,0.4090909090909091,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4436212559050826,0.03463390709146934,3,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49396012229553377,0.01546001828756415
12,2.9195955753326417,0.5116182254011373,0.012566518783569337,0.0013528453681874609,223.45722829607055,0.1755439007743641,"{'clf__C': 223.45722829607055, 'clf__gamma': 0.1755439007743641}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6571078738046296,0.04064598812604636,3,0.700522778192681,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6920544402706407,0.009771461476799638,0.46,0.4090909090909091,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4436212559050826,0.03463390709146934,3,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49433276261885234,0.015710370690253547
13,1.3210683345794678,0.14914687744144808,0.012566423416137696,0.0004885971129893825,96.78201183642301,0.3035281964590723,"{'clf__C': 96.78201183642301, 'clf__gamma': 0.3035281964590723}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6577048887300028,0.03999488248309436,1,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.7027632561613144,0.6955223880597015,0.6917557098748229,0.009586157573746631,0.46,0.4109589041095891,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4439948549088187,0.03426754760624158,1,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5134474327628362,0.4912718204488778,0.4940855062839984,0.015614244522426223
14,3.1820937633514403,0.45914393803298104,0.012167692184448242,0.0007464803852398819,270.6223892135637,0.01190070177553312,"{'clf__C': 270.6223892135637, 'clf__gamma': 0.01190070177553312}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6571078738046296,0.04064598812604636,3,0.6982823002240478,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6916063446769141,0.0094178218404756,0.46,0.4090909090909091,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4436212559050826,0.03463390709146934,3,0.5036855036855037,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49396012229553377,0.01546001828756415
15,0.24354867935180663,0.03301371993729082,0.01216750144958496,0.0007465313177622877,13.503333295432544,0.008472986433648,"{'clf__C': 13.503333295432544, 'clf__gamma': 0.008472986433648}",0.6746268656716418,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6559138439538833,0.04094576096474844,17,0.7012696041822255,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6922038054685495,0.009904567087022765,0.4577114427860696,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.4427865179447649,0.034767558946956496,17,0.5061728395061728,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.4944575894596676,0.015801208041468204
16,1.9485909938812256,0.1150376796418523,0.013164472579956055,0.0014658886580780895,157.35115947325585,0.07774112179326903,"{'clf__C': 157.35115947325585, 'clf__gamma': 0.07774112179326903}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6565108588792564,0.04123499672360187,13,0.700522778192681,0.6863330843913368,0.6758775205377147,0.70201643017177,0.6955223880597015,0.6920544402706407,0.009771461476799638,0.46,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443244229387551,0.03497547386319017,11,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5128205128205129,0.4912718204488778,0.49433276261885234,0.015710370690253547
17,0.11409454345703125,0.006543809770238022,0.013164949417114259,0.00039889847738487405,3.1808244364403153,0.10927424058772212,"{'clf__C': 3.1808244364403153, 'clf__gamma': 0.10927424058772212}",0.6746268656716418,0.6119402985074627,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6559138439538833,0.04094576096474844,17,0.6997759522031367,0.6840926064227035,0.6773711725168036,0.7027632561613144,0.6955223880597015,0.6919050750727319,0.009645773649769884,0.4577114427860696,0.4090909090909091,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.4427865179447649,0.034767558946956496,17,0.5037037037037037,0.4921968787515006,0.46798029556650245,0.5134474327628362,0.4912718204488778,0.4937200262466842,0.01522952270314538
18,3.180497884750366,0.4363779369738768,0.010970687866210938,0.0026762631638941425,276.69683640264105,0.018335209123246623,"{'clf__C': 276.69683640264105, 'clf__gamma': 0.018335209123246623}",0.6776119402985075,0.6119402985074627,0.7223880597014926,0.6179104477611941,0.655688622754491,0.6571078738046296,0.04064598812604636,3,0.700522778192681,0.6863330843913368,0.6758775205377147,0.7027632561613144,0.6962686567164179,0.692353059199893,0.00998130135816678,0.46,0.4090909090909091,0.5026737967914437,0.4128440366972477,0.43349753694581283,0.4436212559050826,0.03463390709146934,3,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5134474327628362,0.49188514357053686,0.4945808112316487,0.015836453357910635
19,1.7329671859741211,0.2386046921685604,0.009175777435302734,0.001933688684858295,148.56727635018586,0.054184659895708476,"{'clf__C': 148.56727635018586, 'clf__gamma': 0.054184659895708476}",0.6776119402985075,0.6149253731343284,0.7223880597014926,0.6149253731343284,0.655688622754491,0.6571078738046296,0.04060211918769166,3,0.700522778192681,0.6863330843913368,0.6758775205377147,0.7027632561613144,0.6955223880597015,0.6922038054685495,0.009927066456323432,0.46,0.4109589041095891,0.5026737967914437,0.4109589041095891,0.43349753694581283,0.443617828391287,0.03461679915796471,8,0.5055487053020962,0.4951923076923076,0.4668304668304668,0.5134474327628362,0.4912718204488778,0.49445814660731696,0.015859217115591684
